fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
SMF1,DSD1,92126,dim1,2021-05-12 23:59:59,6.68,not_defined,0,['r31' 'r100' 'r2337' 'r6699' 'r7389'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2337': 0.0, 'r6699': 0.0, 'r7389': 0.0}"
SMF1,DSD1,92126,dim1,2021-05-12 23:59:59,6.68,not_defined,0,['r100' 'r2337' 'r7389'],5.052650047518093,2021-05-11 05:00:00,5.052650041287048,9.427544444424936e-10,5.2883018641431525e-09,"{'r100': 5.052650041287048, 'r2337': 5.2883018641431525e-09, 'r7389': 9.427544444424936e-10}"
SMF1,DSD1,92127,dim1,2021-05-12 23:59:59,6.63,not_defined,0,['r31' 'r100' 'r2338' 'r6700' 'r7390'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2338': 0.0, 'r6700': 0.0, 'r7390': 0.0}"
SMF1,DSD1,92127,dim1,2021-05-12 23:59:59,6.63,not_defined,0,['r100' 'r2338' 'r7390'],4.421068791578332,2021-05-11 05:00:00,4.421068784307937,9.7053466881696e-10,6.2998111461310235e-09,"{'r100': 4.421068784307937, 'r2338': 6.2998111461310235e-09, 'r7390': 9.7053466881696e-10}"
SMF1,DSD1,92128,dim1,2021-05-12 23:59:59,6.65,not_defined,0,['r31' 'r100' 'r2339' 'r6701' 'r7391'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2339': 0.0, 'r6701': 0.0, 'r7391': 0.0}"
SMF1,DSD1,92128,dim1,2021-05-12 23:59:59,6.65,not_defined,0,['r100' 'r2339' 'r7391'],0.6315812559397617,2021-05-11 05:00:00,0.6315812491340091,9.536736289559354e-10,5.852079155135633e-09,"{'r100': 0.6315812491340091, 'r2339': 5.852079155135633e-09, 'r7391': 9.536736289559354e-10}"
SMF1,DSD1,92129,dim1,2021-05-12 23:59:59,6.66,not_defined,0,['r31' 'r100' 'r2340' 'r6702' 'r7392'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2340': 0.0, 'r6702': 0.0, 'r7392': 0.0}"
SMF1,DSD1,92129,dim1,2021-05-12 23:59:59,6.66,not_defined,0,['r100' 'r2340' 'r7392'],3.78948753563857,2021-05-11 05:00:00,3.7894875290336585,9.53673488670974e-10,5.651252242264145e-09,"{'r100': 3.7894875290336585, 'r2340': 5.651252242264145e-09, 'r7392': 9.53673488670974e-10}"
SMF1,DSD1,92130,dim1,2021-05-12 23:59:59,6.64,not_defined,0,['r31' 'r100' 'r2341' 'r6703' 'r7393'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2341': 0.0, 'r6703': 0.0, 'r7393': 0.0}"
SMF1,DSD1,92130,dim1,2021-05-12 23:59:59,6.64,not_defined,0,['r100' 'r2341' 'r7393'],6.315812559397616,2021-05-11 05:00:00,6.315812552365152,9.64848408195557e-10,6.0676936932180075e-09,"{'r100': 6.315812552365152, 'r2341': 6.0676936932180075e-09, 'r7393': 9.64848408195557e-10}"
SMF1,DSD1,92131,dim1,2021-05-12 23:59:59,6.7,not_defined,0,['r31' 'r100' 'r2342' 'r6704' 'r7394'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2342': 0.0, 'r6704': 0.0, 'r7394': 0.0}"
SMF1,DSD1,92131,dim1,2021-05-12 23:59:59,6.7,not_defined,0,['r100' 'r2342' 'r7394'],0.0,2021-05-11 05:00:00,0.0,0.0,0.0,"{'r100': 0.0, 'r2342': 0.0, 'r7394': 0.0}"
SMF1,DLA5,92223,dim1,2021-05-12 23:59:59,6.14,not_defined,0,['r30' 'r99' 'r2187' 'r2623' 'r3198'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2187': 0.0, 'r2623': 0.0, 'r3198': 0.0}"
SMF1,DLA5,92223,dim1,2021-05-12 23:59:59,6.14,not_defined,0,['r99' 'r2187' 'r3198'],4.421068791578332,2021-05-11 05:00:00,1.4511942928482146e-09,9.656441915894352e-10,4.4210687891614935,"{'r99': 1.4511942928482146e-09, 'r2187': 4.4210687891614935, 'r3198': 9.656441915894352e-10}"
SMF1,DLA5,92313,dim1,2021-05-12 23:59:59,5.98,not_defined,0,['r30' 'r99' 'r2188' 'r2624' 'r3199'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2188': 0.0, 'r2624': 0.0, 'r3199': 0.0}"
SMF1,DLA5,92313,dim1,2021-05-12 23:59:59,5.98,not_defined,0,['r99' 'r2188' 'r3199'],1.2631625118795233,2021-05-11 05:00:00,1.2718682265549005e-09,9.829352237492475e-10,1.2631625096247199,"{'r99': 1.2718682265549005e-09, 'r2188': 1.2631625096247199, 'r3199': 9.829352237492475e-10}"
SMF1,DLA5,92320,dim1,2021-05-12 23:59:59,6.1,not_defined,0,['r30' 'r99' 'r2189' 'r2625' 'r3200'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2189': 0.0, 'r2625': 0.0, 'r3200': 0.0}"
